City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,East London,ZA,-33.0153,27.9116,70.57,81,100,6.73,light rain
326,Eyl,SO,7.9803,49.8164,83.3,73,16,11.99,few clouds
327,Zhangjiakou,CN,40.81,114.8794,42.48,42,0,8.37,clear sky
328,Pisco,PE,-13.7,-76.2167,69.03,82,0,8.05,clear sky
329,Kloulklubed,PW,7.0419,134.2556,77.5,78,100,10.98,overcast clouds
330,Tura,IN,25.5198,90.2201,72.03,90,29,14.54,scattered clouds
331,Tiksi,RU,71.6872,128.8694,-1.35,100,100,6.38,overcast clouds
332,Tiznit,MA,29.5833,-9.5,74.89,37,0,8.77,clear sky
333,Hasaki,JP,35.7333,140.8333,46.8,89,100,22.3,overcast clouds
334,Maceio,BR,-9.6658,-35.7353,87.24,62,40,12.66,scattered clouds
335,Wattegama,LK,6.7989,81.4808,77.29,88,40,3.67,scattered clouds
336,Raga,SS,8.4596,25.678,97.45,13,40,5.46,scattered clouds
337,Kadirli,TR,37.3739,36.0961,57.56,46,2,1.43,clear sky
338,Inirida,CO,3.8653,-67.9239,84.45,81,99,1.41,overcast clouds
339,Fukue,JP,32.6881,128.8419,59.4,87,97,33.8,overcast clouds
340,Nuseni,RO,47.1,24.2,59.32,54,0,0.27,clear sky
341,Alamos,MX,27.0167,-108.9333,81.63,17,62,1.5,broken clouds
342,Mitu,CO,1.1983,-70.1733,78.21,84,100,3.38,overcast clouds
343,Scottsbluff,US,41.8666,-103.6672,26.56,52,21,10.22,few clouds
344,Ostrovnoy,RU,68.0531,39.5131,24.24,87,100,5.59,overcast clouds
345,Cabinda,AO,-5.55,12.2,80.92,80,100,9.62,overcast clouds
346,Cururupu,BR,-1.8283,-44.8683,84.31,74,66,4.9,broken clouds
