City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
669,Soyo,AO,81.07,overcast clouds,-6.1349,12.3689,Hotel Mpampa
679,Perundurai,IN,80.01,moderate rain,11.2667,77.5833,Hotel Royal Park
684,Jalu,LY,85.26,scattered clouds,29.0331,21.5482,صاحبة الفخامة
688,Kodinar,IN,80.62,clear sky,20.7903,70.7031,residency of N.B vadhel
690,Abbiategrasso,IT,76.06,few clouds,45.4008,8.9185,Motel Regal
692,Benjamin Constant,BR,77.05,light intensity drizzle,-4.3831,-70.0311,CASA AVALIADA
693,Fare,PF,81.63,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
694,Singaraja,ID,80.15,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
696,Shenzhen,CN,80.22,clear sky,22.5455,114.0683,Grand Skylight
697,Daru,PG,80.64,broken clouds,-9.0763,143.2092,Daru Lodge
701,Dogbo,BJ,90.57,overcast clouds,6.8167,1.7833,Maison des visiteurs / auberge chez ESI ONG/ pro dogbo e.V.
702,Vao,NC,76.91,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
705,Codajas,BR,85.33,moderate rain,-3.8367,-62.0569,Atlântic Hotel
708,Kirakira,SB,79.63,scattered clouds,-10.4544,161.9205,SanBiz Lodge
710,Nyanguge,TZ,78.21,overcast clouds,-2.55,33.2,Macho lodge
